NÂ°,CODIGO INFRACCION,TIPO DE VIA,LUGAR DE INTERVENCION,EMPRESA DE TRANSPORTE,CLUSTER
61,U07,AVENIDA,PETIT THOUARS,COMERCIALIZADORA CANAN,49
64,U04,AVENIDA,JOSE PARDO,TRANSPORTES 77 SA.,50
65,U07,AVENIDA,PASEO DE LA REP.,HUAMAN CHALCO NIVER,113
66,U07,CALLE,CONTRALMIRANTE MONTERO,TRANSMANT. PERU SRL.,6
67,N56,AVENIDA,ALFREDO BENAVIDES,ET. VIRGEN DE COPACABANA,59
68,U11,CALLE,DOS DE MAYO,SAN FERNANDO SA.,6
69,N01,CALLE,ATAHUALPA,SAN FERNANDO SA.,5
70,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC.,5
71,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,5
72,N56,AVENIDA,ALFREDO BENAVIDES,HOLREX,59
73,N56,AVENIDA,ALFREDO BENAVIDES,HOLREX,59
75,N56,AVENIDA,PASEO DE LA REP.,ESPECIAL SOLIDARIDAD,65
76,N56,AVENIDA,ALFREDO BENAVIDES,TRANSCASTEL,59
78,R15,CALLE,SCHELL,TORODEO TAPIA,5
80,U04,AVENIDA,PASEO DE LA REP.,DISTRIBUCIONES ROBASA,5
82,U04,CALLE,BERLIN,COMERCIALIZADORA CANAN SAC.,5
83,U11,CALLE,PIURA,VALENZUELA PAUCAR LIZETH,6
84,N56,AVENIDA,PASEO DE LA REP.,HOLREX,65
85,N56,AVENIDA,PASEO DE LA REP.,AQUARIUS,65
91,U11,CALLE,PIURA,VALENZUELA PAUCAR LIZETH,6
92,U11,CALLE,BERLIN,VALENZUELA PAUCAR LIZETH,6
93,U07,CALLE,DOS DE MAYO,RANSA COMERCIAL,35
95,R15,AVENIDA,ALFREDO BENAVIDES,ESPINO REYNOSO ELVIRA,40
96,N14,AVENIDA,PASEO DE LA REP.,HOLDING REAL EXPRESS,59
97,U11,AVENIDA,PASEO DE LA REP.,DISTRIBUIDORA PACI SRL.,96
100,U04,CALLE,BELLAVISTA,DISTRIBUCIONES ROBASA SAC.,66
101,U11,CALLE,JUNIN,DISTRIBUIDORA PACI SRL.,6
104,U04,AVENIDA,GENERAL CORDOVA,DISTRIBUIDORA PACI SRL.,50
105,U04,AVENIDA,RICARDO PALMA,TRANSPORTES 77 SA.,27
106,U07,CALLE,PIURA,BRAEDT. SA.,155
107,U07,CALLE,PIURA,DISTRIBUIDORA PACI SRL.,155
110,N56,AVENIDA,PASEO DE LA REP.,ET. PAMELA SA.,65
111,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
112,U11,AVENIDA,COMANDANTE ESPINAR,TRANSP. FABRISIO & KATHERINE,137
114,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING,59
116,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
117,U04,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,50
118,N56,AVENIDA,ALFREDO BENAVIDES,HRE EXPRESS,59
120,U11,AVENIDA,COMANDANTE ESPINAR,INV. GENERALES AMAZONICAS SRL.,137
123,U11,CALLE,ATAHUALPA,SAGA DIS SAC.,6
126,U07,AVENIDA,PASEO DE LA REP.,GRUA Y MANIOBRAS CARBJAL S.R.L,113
127,U04,AVENIDA,PASEO DE LA REP.,SERVICIOS LOGISTICOS PANIAGUA S.A.,5
128,N26,AVENIDA,ALFREDO BENAVIDES,HRE EXPRESS,59
131,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,6
132,U11,CALLE,JOSE GONZALES,DISTRIBUIDORA PACI SRL.,6
133,R15,AVENIDA,LA PAZ,LOS LIDERES DEL TRANSPORTE 2011,85
134,U15,AVENIDA,DIEZ CANSECO,CORPORACION DE SERV. BASICOS,50
135,U07,CALLE,DOS DE MAYO,RANSA COMERCIAL,35
136,U11,CALLE,ELIAS AGUIRRE,TRANSALVER EIRL.,6
137,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,5
138,U11,AVENIDA,COMANDANTE ESPINAR,MUÃ‘OZ MEDINA ROMULO .A,137
140,U04,AVENIDA,PASEO DE LA REP.,RANSA COMERCIAL .S.A,5
141,U11,CALLE,PIURA,TRASPORTES INTEREVEGA S.A.C,6
142,U07,CALLE,PIURA,ODEBRECHT PERU ING Y CONST. S.F.C,155
143,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
144,N56,AVENIDA,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,59
146,U04,CALLE,ENRIQUE PALACIOS,DISTRIBUCIONES ROBASA SAC.,5
148,U07,CALLE,JULIO BECERRA,TRANSP. FABRISIO Y KATHERINE S.A.C,155
149,U04,CALLE,LOS PINOS,TRANSPORTES 77,5
150,U11,CALLE,ENRIQUE MEIGGS,HUAMAN BRAVO JUAN,6
151,U04,CALLE,PIURA,DISTRIBUIDORA PACI SRL.,5
152,U07,CALLE,CONTRALMIRANTE MONTERO,HUARCAYA CAJA OSWALDO,6
153,U04,CALLE,LOS PINOS,DISTRIBUCIONES ROBASA,5
154,U07,AVENIDA,ALFREDO BENAVIDES,DISTRIBUIDORA PACI SRL.,30
156,U11,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI,6
157,U11,CALLE,ELIAS AGUIRRE,FRANGROUP SAC.,6
158,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC,104
159,U11,CALLE,BERLIN,RUIZ NIÃ‘O DE TAVARA MANUELA,6
160,U04,CALLE,LOS PINOS,RANSA COMERCIAL,5
163,U04,AVENIDA,ERNESTO DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,50
164,N56,AVENIDA,ALFREDO BENAVIDES,HOLDIN REAL EXPRESS,59
166,U04,CALLE,GENERAL MENDIBURU,TORRES AYALA PABLO DE LA CRUZ,5
167,U07,AVENIDA,ALFREDO BENAVIDES,P&D ANDINA ALIMENTOS SA.,30
168,U04,CALLE,GENERAL MENDIBURU,TORRES AYALA PABLO DE LA CRUZ,5
169,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,5
170,U07,CALLE,ENRIQUE PALACIOS,RANSA COMERCIAL,155
173,U11,CALLE,ELIAS AGUIRRE,DISTRIBUCIONES PACI S.R.L,6
178,U11,CALLE,MARIA PARADO DE BELLIDO,TRANSALVER EIRL.,6
179,U04,CALLE,GENERAL SUAREZ,DISTRIBUIDORA PACI SRL.,5
181,U11,CALLE,DOS DE MAYO,NAJARRO HUAMAN VENTURA,6
190,U11,CALLE,DOMINGO ELIAS,TRANSLOGISTIC CONTRATISTAS Y SERV. SAC.,6
191,U11,AVENIDA,PETIT THOUARS,PIZARRO CARDENAS JOSE L.,49
192,U11,CALLE,ENRIQUE MEIGGS,TRANSALVER EIRL.,6
193,U04,CALLE,BERLIN,DISTRIBUIDORA ROBASA,5
196,R12,AVENIDA,JOSE LARCO,E.T J Y J TOURS S.A.C,100
198,R12,CALLE,BELLAVISTA,E.T CALLAO TAXI TOURS S.A.C,66
200,U07,CALLE,JOSE GALVEZ,SERV. LOGISTICOS PANIAGUA SAC.,155
201,U07,CALLE,GENERAL RECAVARREN,R. DOY INDUSTRIAL SAC.,155
203,U04,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI SRL.,5
205,R15,AVENIDA,JOSE LARCO,MULTISERVICIOS SUIDO STAR,160
208,R12,CALLE,BELLAVISTA,INV. Y NEGOCIACIONES .SVCO LATINO,66
211,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC,104
212,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA SAC,104
213,U07,CALLE,BOLOGNESI,HERRERA NOME S.A.C,4
215,R15,AVENIDA,JOSE LARCO,E.T. Y S SANTISIMA VIRGEN DE COPACABANA,160
217,R12,AVENIDA,ALFREDO BENAVIDES,TAXI PACIFICO S.R.L,52
219,R12,CALLE,BELLAVISTA,ET. Y S. SANTISIMA VIRGEN DE COPACABANA,66
220,U07,CALLE,TARATA,PANIFICADORA BIMBO DEL,155
221,U04,AVENIDA,PETIT THOUARS,DISTRIBUIDORA PACI SRL.,50
223,U04,AVENIDA,DOS DE MAYO,COMERCIALIZADORA CANAN,27
228,R12,AVENIDA,JOSE LARCO,EL PARDO SERVIS,100
231,U04,CALLE,DOS DE MAYO,DISTRIBUIDORA PACI SRL.,5
232,N56,AVENIDA,DOS DE MAYO,ESPECIAL SOLIDARIDAD,65
233,N56,AVENIDA,DOS DE MAYO,HOLDIN  EXPRESS,35
236,R15,AVENIDA,JOSE LARCO,E.T CALIFORNIA DEL PERU,160
238,R12,AVENIDA,JOSE LARCO,CORPORACION METROMOBIL,100
239,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING EXPRESS,59
240,U11,AVENIDA,DEL EJERCITO,RAUSA COMERCIAL,49
246,R12,CALLE,JOSE OLAYA,E.T. MOLITOURS,5
251,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
258,U03,CALLE,MANUEL TOVAR,TRANSPORTES QULLA SAC.,5
259,N25,AVENIDA,LA MAR,ET. SANTA LUZMILA SA.,8
260,U07,AVENIDA,SANTA CRUZ,TRANSPORTES QULLA SAC.,105
262,U07,CALLE,BOLOGNESI,CONSORCIO FRAP SAC.,4
263,U04,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI SRL.,5
269,N40,CALLE,GENERAL VARELA,ATCR,15
278,U11,CALLE,BERLIN,DISTRIBUIDORA ROBASA S.A.C.,6
279,U07,AVENIDA,RICARDO PALMA,GONZALITO ALMACENES Y SERV. EIRL.,154
280,U07,AVENIDA,RICARDO PALMA,RANSA COMERCIAL SA.,154
281,U07,AVENIDA,JOSE PARDO,YAGISH TRANSP. Y LOGISTICA SAC,105
282,U04,CALLE,INDEPENDENCIA,DISTRIBUIDORA PACI SRL.,5
283,U04,CALLE,INDEPENDENCIA,DISTRIBUIDORA PACI SRL.,5
284,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING EXPRESS,59
285,N56,AVENIDA,ALFREDO BENAVIDES,URANO TOURS,59
286,R05,AVENIDA,PASEO DE LA REP.,TRANSPORTES DESARROLLO EMP.,10
289,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA,5
296,U04,AVENIDA,PETIT THOUARS,DISTRIBUIDORA PACI,49
297,U07,CALLE,CORONEL INCLAN,TRANSPORTES 77 SA.,66
298,U04,CALLE,PIURA,DISTRIBUCIONES ROBASA SAC.,5
300,N56,AVENIDA,ALFREDO BENAVIDES,ATRASCPSA,59
301,R05,AVENIDA,ANGAMOS ESTE,CONSORCIO TRANSP. URBANO SAC.,10
304,N56,AVENIDA,PASEO DE LA REP.,HOLREX EXPRESS,65
307,U11,CALLE,DOS DE MAYO,E.T Y SERV. SANTOS PALACIOS,6
308,U11,AVENIDA,DOS DE MAYO,CHAMORRO LOPEZ ALEJANDRINA,49
310,U11,CALLE,PINOS,DISTRIBUIDORA PACI S.R.L,6
311,U11,CALLE,PIURA,EMPRESA FERRETERO LA PORTADA EIRL.,6
313,U11,CALLE,GENERAL SUAREZ,DHV SERV. Y TRANSP.  SAC.,6
315,U11,AVENIDA,RICARDO PALMA,OPERACIONES LOGISTICOS VALLE SAC,124
317,U11,AVENIDA,COMANDANTE ESPINAR,TRANSPORTES B&Q SAC.,137
318,U11,CALLE,FEDERICO VILLAREAL,DISTRIBUCIONES ROBASA SAC.,6
319,U11,AVENIDA,ARENALES,DEMOPOSS EIRL.,49
320,U07,AVENIDA,BENAVIDES,AG. TRANSPORTES REFRIGERADO Y SERV. GEN.,8
321,U11,CALLE,FRANCIA,SERV. LOGISTICOS PANIAGUA SAC.,6
322,U11,CALLE,BERLIN,CORDOVA NOA OFELIA,6
323,N56,AVENIDA,PETIT THOUARS,ET. RAMIRO PRIALE,49
324,U07,CALLE,BELLAVISTA,DISTRIBUIDORA PACI,4
328,U11,CALLE,HENRY REVETT,TRANSPORTES PALACIOS HNOS. SAC.,6
330,N40,CALLE,CHICLAYO,CILAP,15
336,U11,AVENIDA,DE LA AVIACION,JK LIMAYLLA CONTRATISTAS G. E.I.R.L.,146
337,U04,CALLE,LOS PÃNOS,DISTRIBUCIONES ROBASA S.A.C,141
340,U07,AVENIDA,LA PAZ,DISTRIBUCIONES ROBASA SAC.,105
341,U11,CALLE,ROMA,DISTRIBUIDORA PACI,6
342,U04,CALLE,BELLAVISTA,INVERSIONES ANDRES Y TRANSP S.A.C,66
343,N58,AVENIDA,ALFREDO  BENAVIDES,ETRANSCISA,8
344,U07,CALLE,FRANCIA,DISTRIBUCIONES PACI S.R.L,155
345,U11,CALLE,BOLIVAR,SAN FERNANDO SA.,6
350,U17,CALLE,BERLIN,JK LIMAYA CONTRATISTAS GENERALES,155
351,U04,AVENIDA,GRAU,DISTRIBUCIONES ROBASA,5
352,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
353,U04,CALLE,LOS PINOS,DISTRIBUIDORA PACI S.R.L,5
354,U07,AVENIDA,LA MAR,INDUSTRIAS SUAREZ,105
355,U07,AVENIDA,JOSE PARDO,ASLLA ADOSQUIPA JESUS M,105
356,U04,CALLE,PIURA,DISTRIBUIDORA PACI S.R.L,5
357,U04,CALLE,LIBERTAD,DISTRIBUCIONES  ROBASA,5
358,U11,CALLE,BELLAVISTA,RANSA  COMERCIAL S.A,6
362,R15,AVENIDA,PETIT THOUARS,MARIÃ‘O LAZARO GLADYS,85
363,U04,CALLE,ELIAS AGUIRRE,DISTRIBUIDORA PACI,5
364,U04,CALLE,BELLAVISTA,TRANSPORTES HECARO,66
365,N56,AVENIDA,PASEO D ELA REPUBLICA,HOLDING REAL EXPRESS,59
368,N56,AVENIDA,PASEO DE LA REPUBLICA,AQUARIUS,11
369,U04,CALLE,COLON,SAN IGNACIO S.A,5
370,U11,AVENIDA,PASEO DE LA REPUBLICA,CONGONA RODRIGUEZ HECTOR .M,11
371,U04,CALLE,COLON,DISTRIBUCONES ROBASA,5
373,U07,AVENIDA,DE LA AVIACION,J.K LIMAYLLA CONTRATISTAS GRAL,105
374,U11,CALLE,BOLOGNESI,CHAVEZ ARIAS,6
376,N58,AVENIDA,ANGAMOS OESTE,A.T.C.R,8
378,N56,AVENIDA,ALFREDO BENAVIDES,HOLREX,59
379,N14,AVENIDA,PASEO DE LA REPUBLICA,EMTESSA,11
380,U17,CALLE,ELIAS AGUIRRE,REYES CONTRERAS TEODORA,5
382,N58,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
383,N58,AVENIDA,ALFREDO BENAVIDES,TRANSCASTEL,59
384,U04,AVENIDA,MRCAL O. R. BENAVIDES,TRANSPORTES 77 S.A,49
387,U11,AVENIDA,MLCON DELA RESERVA,EMPRESA DE TRANSPORTES Y S.M G. M D. R,49
388,N56,AVENIDA,PASEO DE LA REPUBLICA,HOLREX,11
390,U07,AVENIDA,LA MAR,CONCREMAX,105
391,U11,CALLE,BERLIN,DISTRIBUCIONES ROBASA,155
392,U11,AVENIDA,PETIT THOUARS,EMERSON A. MACARIO EIRL.,49
394,U11,AVENIDA,DE LA AVIACION,JK LIMAYLLA CONTRATISTAS G. E.I.R.L,146
398,U07,AVENIDA,PASEO DE LA REP.,TRANSPORTES CMC. PERU,113
399,U17,CALLE,BERLIN,AL. MONTALVO SAC.,155
405,U07,AVENIDA,PETIT THOUARS,K&C LOGISTIC SAC.,49
406,U11,CALLE,PORTA,DISTRIBUCIONES ROBASA SAC.,6
407,U11,CALLE,LOS PINOS,DISTRIBUIDORA PACI SRL.,6
412,R05,AVENIDA,AREQUIPA,VELASQUEZ PAUCAR FERNANDO,10
413,R15,AVENIDA,AREQUIPA,BARDALES ESTELA PEDRO,10
414,R05,AVENIDA,AREQUIPA,ET. INV. SVICO LATINO,10
415,U11,CALLE,HENRY REVETT,NEVERA EXPRESS E.I. R. L,6
417,U07,AVENIDA,COMANDANTE ESPINAR,LINARES ESPINOZA WALTER,83
419,R05,AVENIDA,AREQUIPA,ORTEAGA GARCIA ELIFIO,10
420,U07,AVENIDA,PASEO DE LA REPUBLICA,YAGISH TRANSP. Y LOGISTICA SAC,121
422,U07,CALLE,BOLOGNESI,FOOD PACK SAC.,4
423,R15,AVENIDA,AREQUIPA,CASTILLO AYNA LUIS,10
427,U04,AVENIDA,RICARDO PALMA,DISTRIBUCIONES ROBASA,5
428,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,6
429,U07,CALLE,RAMON ZAVALA,FERNANDEZ RAMOS ROBER,155
432,U11,CALLE,HENRY REVETT,SERV. ABASTECIMIENTO SERATRA,6
435,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA,5
436,U07,CALLE,LOS PINOS,SAN FERNANDO SA.,155
437,U07,CALLE,LOS PINOS,SAN FERNANDO SA.,155
438,U11,CALLE,TACNA,DISTRIBUCIONES HUARNCCA SAC.,6
440,N56,AVENIDA,BENAVIDES,HOLDING REAL EXPRESS,59
441,U07,AVENIDA,JOSE PARDO,ORE ATALAYA MARINA,105
445,U07,CALLE,BOLIVAR,PRORECOVE SAC.,155
446,U11,CALLE,HENRY REVERT,TRANSPORTES LOGISTICOS SAC.,6
447,U04,CALLE,SAN MARTIN,DISTRIBUCIONES ROBASA,5
448,U07,CALLE,AYACUCHO,TRANSPORTES FRANCESCA,155
449,U07,AVENIDA,28 DE JULIO,PATILONGO VILLUGAS ISAAC,105
450,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA,5
451,U07,CALLE,BELLAVISTA,VALDEZ Y LOO EIRL.,66
452,U07,CALLE,TARATA,DISTRIBUIDORA PACI,4
453,U07,CALLE,MONTERO,TRAMNCAR SAC,155
455,U07,AVENIDA,28 DE JULIO,HIDALGO HUAMAN JULIO,105
456,U11,AVENIDA,ANGAMOS OESTE,TRANSPORTES 77 SA.,49
461,R05,AVENIDA,AREQUIPA,LOS TRIOS DEL PERU,10
462,U04,CALLE,BELLAVISTA,EMERSON ARTURO MACARIO LAUREANO EIRL.,66
464,N01,AVENIDA,PETIT THOUARS,MUÃ‘ANTE CARDENAS CARLOS,49
466,U11,CALLE,JOSE TORIBIO POLO,DISTRIBUIDORA PACI SRL.,6
469,U04,CALLE,DOS DE MAYO,REVES VARGAS GISELLA A.,5
470,U04,CALLE,GENERAL SUAREZ,DISTRIBUIDORA PACI,111
472,U11,CALLE,PORTA,HALMARK SA.,6
473,U11,CALLE,DOS DE MAYO,UNION DE CONCRETERAS SA.,6
474,U04,CALLE,ENRIQUE PALACIOS,TRANSPORTES LUANSA SAC.,5
475,U07,CALLE,JOSE GALVEZ,NIÃ‘O DETABARA MANUELA,155
477,U11,CALLE,JUAN FANNING,DISTRIBUIDORA PACI SRL.,6
478,U07,CALLE,DOS DE MAYO,IMPORTACIONES HIRAOKA SAC,35
482,U11,AVENIDA,PETIT THOUARS,E.T. SAN ROQUE,49
484,U11,AVENIDA,PETIT THOUARS,CHAMORRO LOPEZ ALEJANDRINA,49
485,N58,AVENIDA,ALFREDO BENAVIDES,ETRANCISA,59
486,U11,CALLE,BELLAVISTA,INVERSIONES ANDRES Y TRANSP S.A.C,6
487,U11,CALLE,BELLAVISTA,INVERSIONES ANDRES Y TRANSP S.A.C,6
488,U11,CALLE,PIURA,DISTRIBUIDORA PACI,6
490,U04,AVENIDA,FEDERICO VILLAREAL,RANSA COMERCIAL,50
491,R23,AVENIDA,JOSE LARCO,MEZA CASTILLO CESAR. A,160
492,U07,AVENIDA,JOSE LARCO,TRASNPORTES QUILA S.A.C,105
493,U11,CALLE,BERLIN,CORPORACION DE TRANSP. CARLEY,6
494,N56,CALLE,CHICLAYO,A.T.C.R,15
495,R15,AVENIDA,SANTA  CRUZ,E.T SVICO LETINO S.A.C,85
498,U11,AVENIDA,DIEZ CANSECO,DISTRIBUIDORA PACI SRL.,50
499,U11,AVENIDA,PASEO DE LA REPUBLICA,OPERACIONES LOGISTICOS V  .S.A.C,11
500,U11,CALLE,ELIAS AGUIRRE,CHOICE EQUIPOS Y SERVICIOS S.A.C,6
501,U11,CALLE,ELIAS AGUIRRE,CHOICE EQUIPOS Y SERVICIOS S.A.C,6
504,N58,AVENIDA,REPUBLICA PANANA,ETVIMSA,8
505,U07,CALLE,HIPOLITO UNANUE,RUIZ DE TAVARA MANUEL,155
506,U04,CALLE,LOS PINOS,DISTRIBUCIONES ROBASA,5
507,N26,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
509,U11,CALLE,BERLIN,DISTRIBUIDORA PACI,6
510,U11,AVENIDA,PETIT THOUARS,COMERCIAL CANAN S.A.C,49
511,U04,CALLE,BERLIN,DISTRIBUCIONES ROBASA S.A.C,141
512,U11,AVENIDA,GENERAL CORDOVA,DISTRIBUIDORA  PACI S.A.L,49
515,U11,AVENIDA,PETIT THOUARS,COMERCIAL CANAN S.A.C,49
516,U04,AVENIDA,PASEO DE LA REPUBLICA,DISTRIBUIDORA PACI SRL.,50
517,U04,CALLE,PIURA,TRANSPORTES 77 S.A,5
518,U11,CALLE,JORGE CHAVEZ,CRUZ SAICO DAMIAN S,6
519,U11,CALLE,CORONEL INCLAN,DISTRIBUIDORA PACI S.R.L,6
520,U11,CALLE,MANCO CAPAC,SILVA GOMEZ VILDER,6
524,U11,AVENIDA,ALFREDO BENAVIDES,TRANSPORTES PAQUELITA S.A.C,26
526,U11,CALLE,TARAPACA,RUIZ NIÃ‘O DE TAVARA M.,6
527,N56,AVENIDA,ALFREDO BENAVIDES,HOLREX EXPRESS,59
528,U11,CALLE,ELIAS AGUIRRE,SERATRA S.R.L,6
529,U07,CALLE,PIURA,JUNIOR.IMPORT E.I.R.L,155
530,U07,AVENIDA,PETIT THOUARS,EMERSON ARTURO MACARIO LAUREANO,49
532,U04,PASAJE,TELLO,TRASNSPORTES 77 S.A,5
533,U11,CALLE,ELIAS AGUIRRE,"MERCADO RAMOS,WILLY ENRIQUE",6
536,U11,AVENIDA,PETIT THOUARS,REYES CONTRERAS TEODORA,49
537,U07,CALLE,ATAHUALPA,QUISPE GUIZADO MERCEDES,155
538,U04,CALLE,PORTA,DISTRIBUCIONES ROBASA S.A.C,141
539,U04,CALLE,BELLAVISTA,DISTRIBUCIONES ROBASA S.A.C,141
545,U07,AVENIDA,RICARDO PALMA,TRASNPORTES 77 S.A,154
547,U11,AVENIDA,PETIT THOUARS,TORRES CONDORI ERIKA,49
549,R05,AVENIDA,ANGAMOS OESTE,GLOBAL S.A.C,128
550,N14,AVENIDA,GRAL CORDOVA,E.T MIMSA,83
551,U11,AVENIDA,PETIT THOUARS,IMPORT.HIRAOKA S.A.C,49
552,U04,CALLE,JOSE TORIBIO POLO,DISTRIBUCIONES PACI S.R.L,5
553,U11,CALLE,GENERAL BORGOÃ‘O,VENTURA RIVERA.E,6
554,U11,AVENIDA,PETIT THOUARS,DISTRIBUCIONES PACI S.R.L,49
555,U11,AVENIDA,PASEO DE LA REPUBLICA,GUTIERRREZ PAREDES MIGUEL .A,11
556,N43,AVENIDA,O.R. BENAVIDES,TRANSLIMA SA.,82
557,U04,AVENIDA,PAEO DE  LA REPUBLICA,DIST. DE MAT DE CONSTRUCCCION SANCHEZ,50
558,U11,CALLE,ENRIQUE MEIGGS,E.T.R.B CAR S.R.L,6
559,U04,AVENIDA,PASEO DE LA REPUBLICA,DSITRIBUIDORA PACI S.R.L,11
560,U09,AVENIDA,PASEO DE LA REPUBLICA,TRSNSPORTES MAJARO S.A.C,11
562,U07,CALLE,BOLOGNESI,TRANSP.H Y C.ASOCIADOS SAC,4
563,U07,AVENIDA,ALFREDO BENAVIDES,AREQUIPA EXPRESO MARVISUR E.I.R.L,30
564,N58,AVENIDA,ALFREDO BENAVIDES,URANO TOURS,59
565,U04,CALLE,PORTA,DISTRIBUIDORA ROBASA,5
567,N58,AVENIDA,ALFREDO BENAVIDES,E.T CUARENTA INTEGRADA,59
568,U04,CALLE,LAS DALIAS,DISTRIBUIDORA PACI,5
569,N56,AVENIDA,PETIT THOUARS,GALILEA EXPRESS S.A.,49
570,N26,AVENIDA,GRAL CORDOVA,E.T. ANGAMOS,82
571,U11,CALLE,ARICA,CORPOR.TERREROS GUTARRA,6
581,N58,AVENIDA,ANGAMOS ESTE,A.T.C.R,8
583,N56,AVENIDA,ALFREDO BENAVIDES,HOLDING REAL EXPRESS,59
584,R05,AVENIDA,PAEO DE  LA REPUBLICA,HUAMANI Ã‘AHUINLLA,10
585,R15,AVENIDA,PAEO DE  LA REPUBLICA,JUY BERENQUEL LUIS A.,85
586,R05,AVENIDA,PAEO DE  LA REPUBLICA,E.T SERV ALBERTO PAEZ,10
588,U11,CALLE,JOSE GALVEZ,DISTRIBUCIONES ROBASA S.A.C,6
589,U04,CALLE,SCHELL,ORIHUELA CARLOS ANDRES,5
591,U07,CALLE,JORGE CHAVEZ,TRANSPORTE CUSMAR S.A.C,155
592,U04,CALLE,PORTA,DISTRIBUCIONES REBASA S.A.C,5
593,U04,AVENIDA,CONTRALMIRANTE ESPINAR,CCALLO VILCA ANASTACIO,50
594,U07,AVENIDA,PETIT THOUARS,CHUCAS CARGO S.A.C,49
595,U04,AVENIDA,PASEO DE LA REPUBLICA,TRANSPORTE 77 S.A,11
596,U04,AVENIDA,PASEO DE LA REPUBLICA,TRANSPORTE 77 S.A,11
